"mentor_id","university_name","college","course","course_section","uni_start_year","uni_graduation_year"
70,"Oxford Brookes University","","BA (Hons) Architecture",4,2010,2013
71,"Newcastle University","","MSc Advanced Food Marketing",5,2012,2013
72,"University of Warwick","","BSc Management",5,2012,2015
73,"University of Sunderland","","BA Graphic Communication",4,2012,2015
74,"The University of Edinburgh","","BEng Civil Engineering",3,2013,2017
75,"University of Warwick","","BA History of Art",4,2012,2015
76,"Bournemouth University","","Ba (hons) Computer Animation Arts",4,2013,2017
77,"University of Warwick","","BSc Psychology",1,2011,2014
78,"Newcastle University","","Electronic Engineering",3,2011,2014
79,"The University of Edinburgh","","BMus Music Technology",4,2011,2014
80,"University of Essex","","BA International Relations & Politics",5,2012,2015
81,"University of Bath","","BSc Business Administration",6,2011,2015
82,"University of Warwick","","BSc Management",5,2011,2014
83,"King\\'s College London (University of London)","","MSc Organisational Psychology & Psychiatry",5,2012,2013
84,"Durham University","","MMath Mathematics",0,2010,2014
85,"The University of Edinburgh","","BSci Neuroscience",1,2013,2016
85,"University of Glasgow","","BSci Neuroscience",1,2012,2013
86,"Queen Mary, University of London","","LLB Law",5,2012,2015
87,"The University of Edinburgh","","BSc (Joint Hons) Mathematics and Business Studies",0,2010,2013
88,"The University of Edinburgh","","BSc Ecological Science",1,2009,2013
89,"University College London (University of London)","","BSc Archaeology",5,2011,2014
90,"The University of Edinburgh","","MEng Electronics & Electrical Engineering",3,2010,2015
91,"The University of Edinburgh","","MInf Informatics",0,2010,2014
92,"The University of Edinburgh","","MA (Hons) History of Art",4,2013,2017
93,"University College London (University of London)","","BA Politics and East European Studies",5,2013,2016
94,"The University of Edinburgh","","MA Economics",6,2010,2014
95,"The University of Edinburgh","","MA Psychology and Business Studies",5,2011,2015
96,"Imperial College London","","MSc Bioinformatics & Theoretical Systems Biology",1,2013,2014
97,"University of Sheffield","","MEng Civil & Structural Engineering",3,2011,2015
98,"University of Glasgow","","MA Comparative Literature/History of Art",4,2010,2014
99,"The University of Edinburgh","","Psychology & Business",5,2013,2017
100,"University of St Andrews","","MA Psychology and Social Anthropology",5,2010,2014
101,"University College London (University of London)","","MSci Chemistry",2,2011,2015
102,"University College London (University of London)","","BSc Psychology",1,2012,2015
103,"The University of Edinburgh","","BSc Hons Biotechnology",1,2010,2014
104,"London School of Economics and Political Science (University of London)","","Bsc International Relations",5,2012,2015
105,"Durham University","","BSc Psychology",1,2013,2016
106,"University of Leicester","","BSc Communications, Media and Society",5,2011,2014
107,"The University of Edinburgh","","BEng Software Engineering with Management",0,2009,2013
108,"The University of Edinburgh","","MEng Electronics and Electrical Engineering",3,2010,2015
109,"University College London (University of London)","","MSc Economics, BA Philosophy and Economics",5,2006,2010
110,"University of Cambridge","","Education",5,2010,2014
